name,number,inst,run,filename
Aditi,4401,spex,sp203,a004401.sp203.txt
2001 XQ4,205640,spex,sp203,a205640.sp203.txt
2007 DL41,613714,spex,sp203,au2007DL41.sp203.txt
2000 QW158,241676,spex,sp203,a241676.sp203.txt
2003 MB7,313591,spex,sp203,a313591.sp203.txt
Hathor,2340,spex,sp203,a002340.sp203.txt
2007 RT147,410195,spex,sp203,a410195.sp203.txt
2014 HR178,,spex,sp203,au2014HR178.sp203.txt
1999 ND43,36017,spex,sp203,a036017.sp203.txt
2014 UR,,spex,sp203,au2014UR.sp203.txt
2001 HH31,159533,spex,sp203,a159533.sp203.txt
1998 MT24,52762,spex,sp117,a052762.sp117.txt
Apophis,99942,spex,sp117,a099942.sp117.txt
2013 AT72,,spex,sp117,au2013AT72.sp117.txt
1999 JM28,20439,spex,sp117,a020439.sp117.txt
2006 YT13,349068,spex,sp117,au2006YT13.sp117.txt
2005 DD,,spex,sp117,au2005DD.sp117.txt
1999 TU95,42946,spex,sp117,a042946.sp117.txt
2009 DV42,343098,spex,sp117,a343098.sp117.txt
Belenus,11284,spex,sp117,a011284.sp117.txt
Toepperwein,15107,spex,sp117,a015107.sp117.txt
Anfimov,7468,spex,sp117,a007468.sp117.txt
Coelestina,237,spex,sp95,a000237.sp95.txt
2003 UV11,503941,spex,sp95,au2003UV11.sp95.txt
Parker,5392,spex,sp95,a005392.sp95.txt
1992 HE,6455,spex,sp11,a006455.sp11.txt
2000 GD2,138258,spex,sp11,au2000GD2.sp11.txt
2001 VS78,89355,spex,sp11,au2001VS78.sp11.txt
2000 DM8,36284,spex,sp11,a036284.sp11.txt
1991 VK,7341,spex,sp11,a007341.sp11.txt
2005 EC224,175189,spex,sp265,a175189.sp265.txt
Concordia,58,spex,sp265,a000058.sp265.txt
2001 AE2,138911,spex,sp265,a138911.sp265.txt
